Parameter,Mean,StdDev,16th,50th,84th,"Correlation(Omega_m,h)"
Omega_m,0.2968,0.031,0.2668,0.2958,0.3271,
h,0.7028,0.0071,0.6958,0.703,0.7097,-0.598
